Word,Valence,Extremity,Emotionality,Valence_StdDev,Extremity_StdDev,Emotionality_StdDev
crap,1.12,3.38,4.41,1.20,1.20,2.78
disappointing,1.12,3.38,7.03,0.97,0.97,1.85
dishonorable,1.12,3.38,5.30,1.86,0.88,2.37
ignorance,1.12,3.38,3.44,1.24,1.24,2.82
ignorant,1.12,3.38,4.00,0.93,0.93,2.47
ungodly,1.12,3.38,3.00,1.24,1.24,2.76
reprehensible,1.12,3.38,5.81,1.56,1.47,2.51
pathetic,1.11,3.39,6.35,1.22,1.22,2.39
gross,1.11,3.39,6.10,1.23,1.23,2.45
dismal,1.10,3.40,5.80,1.21,1.21,2.31
dissatisfactory,1.10,3.40,4.63,1.21,1.21,2.26
ripoff,1.10,3.40,5.70,1.11,1.11,2.63
dislikable,1.10,3.40,5.57,1.18,1.18,2.34
dysfunctional,1.10,3.40,5.40,1.32,1.23,2.47
damaging,1.10,3.40,4.90,1.22,1.22,2.77
ashamed,1.08,3.42,6.86,1.22,1.22,2.12
dreadful,1.08,3.42,6.75,1.19,1.19,1.98
excruciation,1.08,3.42,6.72,1.00,1.00,2.53
irritating,1.08,3.42,5.83,1.26,1.26,2.75
nauseate,1.08,3.42,5.26,1.12,1.12,2.82
unlikable,1.08,3.42,3.45,1.19,1.19,2.63
distasteful,1.07,3.43,5.24,0.92,0.92,2.16
useless,1.07,3.43,4.65,1.14,1.14,2.60
skanky,1.07,3.43,6.46,1.05,1.05,2.74
despised,1.07,3.43,6.73,1.75,1.01,2.24
unbearable,1.07,3.43,6.04,1.85,1.06,2.74
filth,1.06,3.44,4.00,1.64,0.93,3.06
contaminating,1.04,3.46,2.31,1.10,1.10,2.30
trainwreck,1.04,3.46,4.46,1.02,1.02,3.27
stupid,1.04,3.46,5.77,1.12,1.11,2.66
filthy,1.04,3.46,5.11,1.11,1.11,2.95
vulgar,1.04,3.46,5.57,1.19,1.19,2.35
betrayed,1.04,3.46,6.62,1.40,1.09,2.69
hopeless,1.04,3.46,6.93,0.92,0.92,2.36
horrific,1.04,3.46,6.90,1.32,1.22,2.13
lousy,1.03,3.47,4.73,1.02,1.02,2.85
depressed,1.03,3.47,7.92,1.03,1.03,1.81
grossest,1.03,3.47,3.34,1.10,1.10,3.32
attacking,1.00,3.50,5.41,1.41,1.41,2.72
homophobic,1.00,3.50,5.84,1.32,1.21,3.43
horribly,1.00,3.50,6.03,1.12,1.12,2.53
horrid,1.00,3.50,6.84,1.59,1.41,2.22
hypocrite,1.00,3.50,4.88,1.08,1.08,3.20
negativity,1.00,3.50,4.31,0.98,0.98,2.92
scummy,1.00,3.50,5.42,1.02,1.02,3.14
stench,1.00,3.50,4.06,1.35,1.24,2.63
trashy,1.00,3.50,4.56,1.28,1.18,2.55
unworthy,1.00,3.50,3.74,1.36,1.27,2.78
perverted,0.97,3.53,5.27,1.53,1.19,2.95
sluttish,0.97,3.53,5.52,1.32,1.33,3.15
detest,0.97,3.53,6.33,1.54,1.08,2.67
atrocities,0.97,3.53,6.33,1.80,1.30,2.77
deplorable,0.97,3.53,5.30,1.59,1.11,2.81
toxic,0.97,3.53,5.20,1.35,1.03,2.91
disgust,0.96,3.54,7.17,1.07,1.07,2.17
motherfucking,0.96,3.54,6.72,1.71,1.14,3.02
hates,0.96,3.54,7.39,2.05,1.19,2.01
badness,0.93,3.57,4.13,1.16,1.16,2.40
foul,0.93,3.57,4.90,1.13,1.13,2.44
scum,0.93,3.57,6.30,1.16,1.16,2.20
shameful,0.93,3.57,6.19,1.28,1.18,2.75
dreadfully,0.93,3.57,6.28,1.18,1.18,2.95
dumbest,0.93,3.57,4.31,1.25,1.25,2.84
atrociously,0.93,3.57,5.90,1.92,1.18,2.23
corrupt,0.92,3.58,3.53,1.15,1.15,2.69
ruining,0.92,3.58,3.03,1.04,1.04,2.87
stupidity,0.92,3.58,3.32,1.15,1.15,3.06
retarded,0.90,3.60,5.17,1.60,1.15,3.11
loathsome,0.90,3.60,6.37,1.42,1.13,2.58
moron,0.90,3.60,5.53,1.14,1.14,2.76
disgusting,0.89,3.61,6.73,0.96,0.96,2.13
scam,0.89,3.61,3.59,0.97,0.97,2.98
despicable,0.88,3.62,5.72,1.33,1.33,2.71
dumb,0.88,3.62,3.45,1.09,1.09,3.17
unfit,0.88,3.62,2.31,1.05,1.05,2.49
disgusted,0.88,3.63,7.46,1.01,1.01,2.08
atrocious,0.87,3.63,6.00,1.53,1.02,2.95
slutty,0.87,3.63,6.43,1.14,1.14,2.70
idiots,0.86,3.64,4.56,1.43,0.85,3.13
loser,0.86,3.64,4.70,0.88,0.88,2.96
revolting,0.86,3.64,6.70,1.83,1.21,2.32
awful,0.85,3.65,6.41,1.17,1.01,2.29
grotesque,0.85,3.65,5.03,0.83,0.82,2.95
imbecile,0.85,3.65,3.88,1.35,0.88,2.70
horrible,0.84,3.66,5.53,0.94,0.94,2.94
painful,0.84,3.66,5.89,1.14,1.14,2.28
torturous,0.84,3.66,6.40,1.57,0.95,2.86
traumatize,0.84,3.66,7.04,1.62,1.04,1.70
idiot,0.83,3.67,5.63,1.15,1.03,2.76
terrible,0.83,3.67,5.95,1.04,1.01,2.44
humiliate,0.80,3.70,5.76,1.00,1.00,2.98
mortify,0.80,3.70,5.41,0.91,0.91,2.06
wretched,0.80,3.70,4.83,1.26,1.13,3.07
miserable,0.79,3.71,7.07,1.11,1.11,2.09
atrocity,0.77,3.73,5.26,1.27,1.18,2.77
humiliating,0.77,3.73,7.53,1.38,1.06,1.33
mean-spirited,0.77,3.73,6.67,0.86,0.86,2.06
bullied,0.76,3.74,4.52,0.97,0.97,3.09
disastrous,0.76,3.74,5.85,0.78,0.78,2.30
dishonest,0.76,3.74,4.70,0.88,0.88,2.91
rancid,0.76,3.74,2.90,0.93,0.93,2.91
soulless,0.76,3.74,5.11,0.88,0.88,3.06
worst,0.76,3.74,4.32,1.20,1.20,2.83
bitchy,0.75,3.75,7.45,1.00,1.00,1.74
despise,0.75,3.75,7.03,1.17,1.05,2.37
abysmal,0.74,3.76,5.92,1.19,1.12,2.59
worthless,0.74,3.76,5.59,0.98,0.98,2.73
violated,0.73,3.77,6.70,0.91,0.91,2.34
horrified,0.72,3.78,7.77,1.16,1.04,1.25
agonizing,0.72,3.78,7.16,1.02,1.02,2.02
incompetent,0.72,3.78,2.76,1.10,1.10,3.04
scumbag,0.72,3.78,5.68,1.10,1.10,2.93
shit,0.72,3.78,5.23,1.24,1.24,3.23
stupidest,0.72,3.78,2.72,0.94,0.94,2.99
agony,0.71,3.79,7.21,1.18,1.18,2.19
hating,0.71,3.79,8.08,1.04,1.04,1.49
vile,0.70,3.80,6.61,1.14,1.14,2.30
hate,0.70,3.80,8.00,1.26,1.15,1.98
slaughtered,0.70,3.80,5.20,1.02,1.02,2.93
deceived,0.69,3.81,5.00,1.17,1.17,2.60
hated,0.69,3.81,6.67,1.28,1.17,2.34
nauseating,0.69,3.81,6.33,0.93,0.93,2.40
psycho,0.69,3.81,6.90,0.93,0.93,2.23
dickhead,0.68,3.82,5.35,1.18,1.18,2.93
abused,0.67,3.83,7.12,1.06,1.06,1.93
hateful,0.65,3.85,7.29,0.98,0.97,1.74
cruel,0.64,3.86,6.79,1.15,1.15,2.03
repulsive,0.64,3.86,7.13,1.15,1.15,1.96
rotten,0.64,3.86,3.76,0.86,0.86,3.24
disgrace,0.63,3.87,6.34,0.74,0.74,2.11
tortured,0.63,3.88,6.59,0.90,0.90,2.50
hideous,0.62,3.88,6.70,1.05,1.05,1.91
retard,0.60,3.90,2.93,0.91,0.91,3.62
hatred,0.59,3.91,7.66,0.89,0.89,1.84
failure,0.59,3.91,5.85,1.02,1.02,2.43
abusive,0.56,3.94,6.94,0.87,0.87,2.82
abuse,0.54,3.96,5.86,0.74,0.74,2.79
jackass,0.53,3.97,5.50,0.62,0.62,3.06
misery,0.52,3.98,6.90,0.92,0.92,2.83
bully,0.52,3.98,5.81,0.78,0.78,2.68
nastiness,0.52,3.98,5.63,0.74,0.74,2.66
evil,0.50,4.00,6.00,0.96,0.96,2.95
racist,0.48,4.02,4.45,1.08,0.92,3.85
shitty,0.48,4.02,5.97,0.92,0.92,2.74
torturing,0.48,4.02,5.48,0.82,0.82,2.93
dumbass,0.47,4.03,5.54,0.88,0.88,3.09
cocksucker,0.45,4.05,5.67,0.99,0.99,3.22
cunt,0.39,4.11,6.18,0.96,0.86,3.30
racism,0.38,4.12,5.30,1.01,0.86,3.24
faggot,0.32,4.18,6.15,0.98,0.82,3.45
assholes,0.26,4.24,7.00,0.66,0.66,2.49
,,,,,,
,,,,,,
