Word,Valence,Extremity,Emotionality,Valence_StdDev,Extremity_StdDev,Emotionality_StdDev
blight,1.97,2.53,3.92,1.87,1.42,2.98
sordid,1.97,2.65,4.57,1.60,1.42,2.07
uninspired,1.97,2.53,3.27,1.20,0.98,2.97
unenlightened,1.97,2.53,3.50,1.30,1.30,2.76
inflexible,1.97,2.53,3.70,1.33,1.26,2.91
helpless,1.97,2.53,6.15,1.43,1.29,2.36
loony,1.97,2.53,5.30,1.82,1.26,2.70
discourtesy,1.96,2.54,4.32,1.48,1.48,2.52
inconvenient,1.96,2.54,2.97,1.26,1.26,2.13
denial,1.96,2.54,4.93,1.31,1.31,2.51
groaning,1.96,2.54,3.52,1.37,1.37,2.73
senseless,1.96,2.54,3.63,1.49,1.25,2.82
devoid,1.94,2.56,2.78,1.36,1.30,2.69
clueless,1.94,2.56,3.12,1.52,1.21,2.85
drivel,1.94,2.56,4.13,1.25,1.25,2.50
frustration,1.94,2.56,6.60,1.15,1.15,2.11
sneaky,1.94,2.56,4.50,1.15,1.15,2.90
unresponsive,1.94,2.56,2.43,1.34,1.27,2.21
petulant,1.93,2.57,4.88,1.36,1.29,2.24
substandard,1.93,2.57,4.00,1.20,1.12,2.36
rudely,1.93,2.57,5.69,1.54,1.33,2.49
venomous,1.93,2.57,4.61,2.23,1.34,3.29
embarrass,1.93,2.57,6.45,1.21,1.12,2.33
impossible,1.93,2.57,3.46,1.64,1.37,2.46
scratchy,1.92,2.58,1.70,0.95,0.95,1.90
snooty,1.92,2.58,4.86,1.29,1.29,2.69
foolish,1.91,2.59,4.68,1.37,1.26,2.65
disorganized,1.91,2.59,2.69,1.30,1.24,2.71
offend,1.90,2.60,5.47,1.58,1.26,2.39
unsatisfied,1.90,2.60,4.27,1.25,1.25,2.57
godforsaken,1.90,2.60,4.90,1.94,1.43,3.18
pitiable,1.90,2.60,5.57,1.40,1.40,2.53
pressured,1.90,2.60,6.00,1.16,1.16,2.20
embarrassing,1.90,2.60,7.37,1.86,1.30,1.76
soggy,1.90,2.60,2.07,1.47,1.34,2.45
desperate,1.89,2.61,6.83,1.10,1.10,2.33
smutty,1.88,2.62,3.42,2.19,1.38,2.80
infantile,1.88,2.63,3.80,1.65,1.35,2.75
galling,1.87,2.63,5.44,1.72,1.43,2.49
insensitive,1.86,2.64,5.15,1.73,1.27,2.63
mindless,1.86,2.64,3.59,1.36,1.28,2.95
badgering,1.86,2.64,4.34,1.15,1.15,2.45
bollocks,1.86,2.68,3.35,1.42,1.36,2.92
woefully,1.86,2.64,5.60,1.56,1.42,2.27
agitative,1.85,2.65,5.53,1.49,1.07,2.38
offended,1.85,2.65,5.97,1.35,1.35,2.40
contempt,1.84,2.66,6.16,1.97,1.50,2.73
inferior,1.84,2.66,4.53,1.65,1.35,2.99
odoriferous,1.84,2.66,2.82,1.56,1.41,2.31
paranoid,1.84,2.66,6.42,1.31,1.31,2.54
uncomfortableness,1.84,2.66,4.78,1.46,1.21,2.22
unsatisfactory,1.84,2.66,4.15,1.11,1.11,2.77
vain,1.84,2.66,4.74,1.57,1.15,2.57
condescending,1.84,2.66,6.33,2.13,1.28,2.01
unappealing,1.84,2.66,4.30,1.32,1.25,2.84
ludicrous,1.83,2.67,5.70,1.51,1.38,2.22
dislike,1.82,2.68,5.38,1.39,1.39,2.50
illiterate,1.82,2.68,1.72,1.39,1.32,2.20
uncivilized,1.82,2.68,4.24,1.25,1.25,2.72
unappetizing,1.81,2.69,3.15,1.47,1.12,3.22
unconscionable,1.81,2.69,4.24,1.74,1.33,2.39
annoyances,1.80,2.70,5.30,1.71,1.12,2.09
condescend,1.80,2.70,4.89,1.38,1.11,2.15
flavorless,1.80,2.70,2.60,1.58,1.52,2.37
measly,1.80,2.70,4.29,1.04,1.04,2.88
tacky,1.80,2.70,2.62,1.44,1.36,2.47
pretentious,1.79,2.71,4.78,1.57,1.12,2.53
unimaginative,1.79,2.71,2.33,1.40,1.33,2.27
unsound,1.79,2.71,3.31,1.15,1.15,2.65
deceptive,1.79,2.71,5.14,1.55,1.25,2.77
disturbing,1.79,2.71,6.90,1.34,1.27,2.44
grossly,1.79,2.71,5.28,1.55,1.41,2.67
uninviting,1.78,2.72,3.65,1.04,1.04,2.73
worrisome,1.78,2.72,5.68,1.09,1.09,2.27
lowest,1.77,2.73,2.43,1.52,1.46,2.51
distressingly,1.77,2.73,6.54,1.50,1.13,2.40
broken,1.76,2.74,4.23,1.13,1.13,2.92
frustrate,1.76,2.74,7.08,1.05,0.94,1.70
insecure,1.76,2.74,5.32,1.01,1.01,2.69
problematic,1.76,2.74,3.51,1.30,1.30,2.74
saddened,1.76,2.74,6.41,1.56,1.12,2.00
sloppy,1.76,2.74,3.42,1.23,1.23,2.85
tedious,1.76,2.74,3.16,1.20,1.20,2.57
unhelpful,1.76,2.74,3.22,1.30,1.30,2.71
unsatisfying,1.76,2.74,4.71,1.39,1.31,2.64
insufficient,1.76,2.74,2.96,1.46,1.46,2.84
fool,1.75,2.75,4.45,1.17,1.17,2.73
scaring,1.75,2.75,5.48,1.53,1.14,2.16
shamed,1.75,2.75,6.10,1.17,1.17,2.58
inappropriate,1.75,2.75,3.78,1.27,1.21,2.53
meritless,1.74,2.76,2.83,1.12,1.12,2.46
mocking,1.74,2.76,5.13,1.50,1.15,2.15
snobby,1.74,2.76,5.17,1.63,1.31,2.70
exhausting,1.73,2.77,5.70,1.20,1.12,2.20
grievous,1.73,2.77,6.19,1.40,1.40,2.24
smelly,1.73,2.77,1.92,1.54,1.35,2.06
pointless,1.72,2.78,2.67,1.71,1.38,2.27
false,1.72,2.78,2.89,1.31,1.31,2.82
flawed,1.72,2.78,3.30,1.17,1.17,2.28
incapable,1.72,2.78,3.26,1.46,1.38,2.85
irritate,1.72,2.78,6.32,1.46,1.19,2.33
pained,1.72,2.78,6.52,1.54,1.29,2.13
scary,1.72,2.78,6.06,1.93,1.22,2.56
displeasure,1.72,2.78,6.19,1.17,1.09,2.28
aggravation,1.71,2.79,6.34,1.15,1.15,2.24
fake,1.71,2.79,3.86,1.38,1.38,3.22
rudest,1.71,2.79,5.10,1.86,1.32,2.90
suck,1.71,2.79,3.28,1.58,1.37,3.21
egotistic,1.71,2.79,5.65,1.35,0.93,2.87
off-putting,1.70,2.80,5.40,1.56,1.35,2.34
irksome,1.69,2.81,5.67,1.00,1.00,2.09
troublesome,1.69,2.81,5.87,1.58,1.12,2.10
conceited,1.69,2.81,6.00,1.33,1.18,2.36
misleading,1.69,2.81,3.96,1.06,1.06,3.00
crude,1.68,2.82,4.48,1.35,1.35,2.54
irritation,1.68,2.82,5.74,1.18,1.18,2.05
uncomfortably,1.68,2.82,4.33,1.07,1.07,2.42
unlucky,1.68,2.82,3.11,1.57,1.23,2.19
unsuitable,1.68,2.82,2.85,1.11,1.11,2.36
badly,1.68,2.82,4.52,1.47,1.23,3.02
disgruntled,1.68,2.82,6.41,1.79,1.29,2.38
promiscuous,1.68,2.82,4.38,1.76,1.43,2.80
suffers,1.68,2.82,5.79,1.93,1.40,2.90
unhealthy,1.68,2.82,2.92,1.44,1.00,2.46
depress,1.68,2.82,6.80,1.45,1.45,2.28
complaining,1.67,2.83,4.53,1.11,1.11,2.41
poor,1.67,2.83,3.37,1.37,1.30,2.37
gory,1.66,2.84,5.00,1.75,1.32,3.21
glum,1.66,2.84,6.00,1.29,1.29,2.18
impolite,1.66,2.84,4.93,1.95,1.28,2.48
worsened,1.66,2.84,3.78,1.49,1.18,2.69
disdainful,1.65,2.85,6.53,1.31,1.31,2.30
manipulated,1.65,2.85,5.10,1.31,1.31,2.50
annoys,1.64,2.86,5.69,1.13,1.13,2.29
disturbed,1.64,2.86,6.48,1.34,1.34,2.57
inadequate,1.64,2.86,4.00,1.25,1.25,2.96
detriment,1.63,2.87,4.57,1.50,1.28,2.39
wrong,1.63,2.87,4.57,1.33,1.07,2.74
agitating,1.63,2.87,6.24,1.15,1.15,2.08
hurts,1.63,2.88,5.92,1.74,1.12,2.37
troubling,1.62,2.88,6.26,1.29,1.21,1.77
unknowledgeable,1.62,2.88,2.30,1.45,1.30,2.35
dismayed,1.62,2.88,5.81,1.24,1.14,2.46
disliked,1.61,2.89,6.07,1.15,1.15,2.41
unclean,1.61,2.89,2.83,1.69,1.20,2.49
neglectful,1.61,2.89,4.83,1.34,1.34,2.74
aghast,1.60,2.90,6.97,1.45,1.45,1.86
annoyed,1.60,2.90,6.37,1.38,1.38,1.94
bothering,1.60,2.90,5.17,1.40,1.40,2.38
dummies,1.60,2.90,3.00,1.35,1.35,2.80
maniac,1.60,2.90,5.04,1.44,1.36,2.83
obnoxious,1.60,2.90,5.21,1.04,1.04,2.79
ruined,1.60,2.90,4.71,1.50,1.23,2.64
unimpressive,1.60,2.90,4.33,1.22,1.22,2.60
uninspiring,1.60,2.90,4.10,1.19,1.19,2.81
unpleasant,1.60,2.90,5.21,1.32,1.32,2.68
upset,1.60,2.90,7.06,1.15,1.15,2.34
intolerable,1.59,2.91,6.27,1.43,1.22,2.52
egotistical,1.59,2.91,5.68,1.47,1.40,2.19
lame,1.59,2.91,3.61,1.19,1.19,2.20
dispirited,1.58,2.92,6.07,1.09,1.09,2.32
angering,1.58,2.92,7.13,1.22,1.21,1.80
cruddy,1.57,2.93,5.67,1.20,1.20,2.27
ugly,1.57,2.93,3.76,1.73,1.60,3.27
appalled,1.56,2.94,6.07,1.92,1.37,2.85
dangerous,1.56,2.94,5.23,1.29,1.29,2.85
faking,1.56,2.94,3.41,1.23,1.23,2.22
hassled,1.56,2.94,3.79,1.19,1.08,2.54
sluggish,1.56,2.94,3.37,1.26,1.26,2.75
sucked,1.56,2.94,4.68,1.33,1.23,2.92
punished,1.56,2.94,4.18,1.45,1.28,2.29
unqualified,1.56,2.94,2.62,1.31,1.31,2.27
whining,1.55,2.95,5.26,1.82,1.15,2.41
dirty,1.55,2.95,3.07,1.41,1.41,2.65
mortifying,1.54,2.96,6.86,1.69,1.48,2.29
hopelessly,1.53,2.97,6.23,1.63,1.18,2.37
whiny,1.53,2.97,5.85,1.61,1.09,2.82
faulty,1.52,2.98,3.22,1.23,1.12,2.21
lewd,1.52,2.98,3.75,1.90,1.11,2.78
unbearably,1.52,2.98,6.45,1.33,1.33,2.73
unfortunate,1.52,2.98,4.35,1.12,1.12,2.48
unlikeable,1.52,2.98,5.26,1.36,1.36,2.11
unwelcome,1.52,2.98,4.15,1.23,1.12,2.28
crummy,1.52,2.98,5.08,1.12,1.12,2.29
dumpy,1.52,2.98,4.05,1.19,1.19,2.69
cranky,1.52,2.98,6.33,1.33,1.24,2.42
crud,1.52,2.98,3.34,1.15,1.15,2.86
disappoints,1.52,2.98,6.30,1.15,1.15,2.15
nutcase,1.52,2.98,5.83,1.31,1.31,2.52
painfully,1.52,2.98,6.13,1.63,1.28,2.06
worsen,1.52,2.98,3.57,1.12,1.12,2.64
defective,1.50,3.00,3.45,1.26,1.26,2.71
obscene,1.50,3.00,5.69,1.50,1.43,2.74
sadly,1.50,3.00,6.27,1.61,1.15,2.21
sickening,1.50,3.00,6.26,1.50,1.26,2.39
upsetting,1.49,3.01,6.77,1.22,1.12,2.05
shoddy,1.48,3.02,3.00,1.24,1.24,2.28
damaged,1.48,3.02,4.63,1.09,1.09,2.66
impolitely,1.48,3.02,3.82,1.28,1.28,2.06
scares,1.48,3.02,6.05,1.09,1.09,1.99
distressing,1.48,3.02,7.34,1.66,1.21,1.77
manipulate,1.48,3.02,3.90,1.36,1.36,2.88
mad,1.47,3.03,7.27,1.11,1.11,2.25
weakest,1.47,3.03,4.42,1.67,0.97,2.98
heinousness,1.47,3.03,5.66,2.08,1.19,2.69
overpriced,1.47,3.03,2.70,1.25,1.25,2.15
schmuck,1.47,3.03,5.33,1.28,1.19,2.72
disgraceful,1.46,3.04,6.00,2.10,1.00,2.20
hypocrisy,1.46,3.04,4.31,1.20,1.20,2.87
whores,1.46,3.04,3.79,1.95,1.63,3.63
slob,1.45,3.05,3.48,1.18,1.18,2.59
condemned,1.45,3.05,4.54,1.84,1.12,3.48
demeaning,1.45,3.05,6.23,1.34,1.34,2.31
unreliable,1.45,3.05,3.57,1.29,1.29,2.69
arrogant,1.45,3.05,5.56,1.59,1.45,2.42
dissatisfied,1.44,3.06,5.21,1.05,1.05,2.43
insulting,1.44,3.06,6.11,1.83,1.05,2.32
irrational,1.44,3.06,5.89,1.15,1.15,2.16
lowbred,1.44,3.06,4.38,1.25,1.15,3.10
disappointed,1.44,3.06,6.37,1.16,1.16,1.98
insulted,1.44,3.06,5.81,1.16,1.16,2.17
junky,1.44,3.06,1.86,1.33,1.33,2.40
pissed,1.44,3.06,7.61,1.33,1.33,1.76
whiney,1.44,3.06,4.84,1.29,1.29,2.54
excruciating,1.44,3.06,7.08,2.40,0.81,2.00
undesirable,1.43,3.07,4.69,1.25,1.14,2.65
yucky,1.42,3.08,4.70,1.31,1.31,2.58
hurting,1.41,3.09,5.89,1.66,1.59,2.59
unhealthful,1.41,3.09,2.96,1.18,1.18,2.75
insidious,1.40,3.10,5.93,1.50,1.07,2.36
monstrosity,1.40,3.10,5.93,1.73,1.49,2.84
nuisance,1.40,3.10,4.87,1.15,1.15,2.45
tasteless,1.40,3.10,3.93,1.10,1.00,3.04
unattractive,1.40,3.10,4.80,1.22,1.22,2.87
failing,1.39,3.11,4.48,1.23,1.23,2.69
miserably,1.39,3.11,6.34,1.45,1.37,2.30
thug,1.39,3.11,4.38,1.20,1.20,3.28
crappy,1.39,3.11,5.53,1.20,1.20,2.70
annoying,1.38,3.12,6.37,1.13,1.13,1.84
complains,1.38,3.12,4.56,1.40,1.23,2.85
inexcusable,1.38,3.12,3.52,1.59,1.27,2.85
inept,1.38,3.13,2.11,1.37,1.28,2.39
befoul,1.37,3.13,4.34,1.39,1.30,2.29
outrage,1.37,3.13,6.79,1.28,1.18,2.40
pitiful,1.37,3.13,6.14,1.36,1.36,2.33
unintelligent,1.37,3.13,3.16,1.21,1.21,2.68
crybaby,1.37,3.13,7.33,1.47,1.23,1.54
offensive,1.37,3.14,5.84,1.41,1.19,2.42
repugnant,1.37,3.13,5.97,1.94,1.22,3.05
stinks,1.36,3.14,3.52,1.25,1.25,2.80
fails,1.36,3.14,3.48,1.19,1.19,2.92
sadistic,1.36,3.14,5.79,2.13,1.25,2.82
unsafe,1.36,3.14,4.30,1.30,1.15,2.53
racialist,1.35,3.15,5.07,1.67,1.53,2.77
dismay,1.34,3.16,6.04,1.04,1.04,2.43
bitter,1.33,3.17,6.63,1.67,1.29,2.16
humiliated,1.33,3.17,7.68,1.27,1.27,1.80
obscenity,1.33,3.17,5.23,1.65,1.35,2.30
terribly,1.33,3.17,5.73,1.77,1.14,1.86
depressing,1.32,3.18,7.51,1.19,1.19,1.75
nasty,1.32,3.18,6.79,1.39,1.39,2.16
crudeness,1.32,3.18,4.17,1.28,1.17,2.74
malfunctioning,1.32,3.18,1.07,1.14,1.14,1.46
morbid,1.32,3.18,5.33,1.41,1.08,2.35
suffered,1.32,3.18,6.47,1.22,1.22,2.32
worse,1.32,3.18,4.00,1.03,1.03,2.82
rudeness,1.31,3.19,5.50,1.38,0.92,2.64
